creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
1	:think	think	think	think	think	
2	:think	think	think	think	think	
3	:think	think	think	think	think	
4	:think	think	think	think	think	
5	:think	think	think	think	think	
6	:think	think	think	think	think	
7	:think	think	think	think	think	
8	:think	think	think	think	think	
9	:think	think	think	think	think	
10	:think	think	think	think	think	
11	:think	think	think	think	think	
12	:think	think	think	think	think	
13	:think	think	think	think	think	
14	:think	think	think	think	think	
15	:think	think	think	think	think	
16	:think	think	think	think	think	
17	:think	think	think	think	think	
18	:think	think	think	think	think	
19	:think	think	think	think	think	
20	:think	think	think	think	think	
21	:think	think	think	think	think	
22	:think	think	think	think	think	
23	:think	think	think	think	think	
24	:think	think	think	think	think	
25	:think	think	think	think	think	
26	:think	think	think	think	think	
27	:think	think	think	think	think	
28	:think	think	think	think	think	
29	:think	think	think	think	think	
30	:think	think	think	think	think	
31	:think	think	think	think	think	
32	:think	think	think	think	think	
33	:think	think	think	think	think	
34	:think	think	think	think	think	
35	:think	think	think	think	think	
36	:think	think	think	think	think	
37	:think	think	think	think	think	
38	:think	think	think	think	think	
39	:think	think	think	think	think	
40	:think	think	think	think	think	
41	:think	think	think	think	think	
42	:think	think	think	think	think	
43	:think	think	think	think	think	
44	:think	think	think	think	think	
45	:think	think	think	think	think	
46	:think	think	think	think	think	
47	:think	think	think	think	think	
48	:think	think	think	think	think	
49	:think	think	think	think	think	
50	:think	think	think	think	think	
51	:think	think	think	think	think	
52	:think	think	think	think	think	
53	:think	think	think	think	think	
54	:think	think	think	think	think	
55	:think	think	think	think	think	
56	:think	think	think	think	think	
57	:think	think	think	think	think	
58	:think	think	think	think	think	
59	:think	think	think	think	think	
60	:think	think	think	think	think	
61	:think	think	think	think	think	
62	:think	think	think	think	think	
63	:think	think	think	think	think	
64	:think	think	think	think	think	
65	:think	think	think	think	think	
66	:think	think	think	think	think	
67	:think	think	think	think	think	
68	:think	think	think	think	think	
69	:think	think	think	think	think	
70	:think	think	think	think	think	
71	:think	think	think	think	think	
72	:think	think	think	think	think	
73	:think	think	think	think	think	
74	:think	think	think	think	think	
75	:think	think	think	think	think	
76	:think	think	think	think	think	
77	:think	think	think	think	think	
78	:think	think	think	think	think	
79	:think	think	think	think	think	
80	:think	think	think	think	think	
81	:think	think	think	think	think	
82	:think	think	think	think	think	
83	:think	think	think	think	think	
84	:think	think	think	think	think	
85	:think	think	think	think	think	
86	:think	think	think	think	think	
87	:think	think	think	think	think	
88	:think	think	think	think	think	
89	:think	think	think	think	think	
90	:think	think	think	think	think	
91	:think	think	think	think	think	
92	:think	think	think	think	think	
93	:think	think	think	think	think	
94	:think	think	think	think	think	
95	:think	think	think	think	think	
96	:think	think	think	think	think	
97	:think	think	think	think	think	
